,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,track_names,artist_1,artist_2
0,,0.524,https://api.spotify.com/v1/audio-analysis/3FAJ6O0NOHQV8Mc5Ri6ENp,0.449,198371.0,0.465,3FAJ6O0NOHQV8Mc5Ri6ENp,1.02e-06,0.0,0.303,-8.964,1.0,0.0791,89.087,3.0,https://api.spotify.com/v1/tracks/3FAJ6O0NOHQV8Mc5Ri6ENp,audio_features,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,0.543,Heartbreak Anniversary,Giveon,
0,,0.333,https://api.spotify.com/v1/audio-analysis/0r6uP3bakGB2SlfA5JEotS,0.8,171845.0,0.521,0r6uP3bakGB2SlfA5JEotS,1.73e-06,7.0,0.0981,-9.362,0.0,0.224,102.991,4.0,https://api.spotify.com/v1/tracks/0r6uP3bakGB2SlfA5JEotS,audio_features,spotify:track:0r6uP3bakGB2SlfA5JEotS,0.396,Mimosa,Dree Low,
0,,0.721,https://api.spotify.com/v1/audio-analysis/7lPN2DXiMsVn7XUKtOW1CS,0.585,242014.0,0.436,7lPN2DXiMsVn7XUKtOW1CS,1.31e-05,10.0,0.105,-8.761,1.0,0.0601,143.874,4.0,https://api.spotify.com/v1/tracks/7lPN2DXiMsVn7XUKtOW1CS,audio_features,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,0.132,drivers license,Olivia Rodrigo,
0,,0.839,https://api.spotify.com/v1/audio-analysis/5IONrCRMaQomlgoKpIoI8O,0.571,170227.0,0.694,5IONrCRMaQomlgoKpIoI8O,2.18e-05,5.0,0.165,-5.697,0.0,0.165,97.138,4.0,https://api.spotify.com/v1/tracks/5IONrCRMaQomlgoKpIoI8O,audio_features,spotify:track:5IONrCRMaQomlgoKpIoI8O,0.785,Ge upp igen,Miriam Bryant,Yasin
0,,0.488,https://api.spotify.com/v1/audio-analysis/4PkEC6lj6GXgxDyjmG4obk,0.773,159825.0,0.608,4PkEC6lj6GXgxDyjmG4obk,0.0,8.0,0.385,-4.927,1.0,0.045,94.02,4.0,https://api.spotify.com/v1/tracks/4PkEC6lj6GXgxDyjmG4obk,audio_features,spotify:track:4PkEC6lj6GXgxDyjmG4obk,0.557,Older Overnight - Bonus Track,LOVA,
0,,0.182,https://api.spotify.com/v1/audio-analysis/7MAibcTli4IisCtbHKrGMh,0.586,242096.0,0.616,7MAibcTli4IisCtbHKrGMh,0.0,5.0,0.0927,-7.964,1.0,0.0324,148.088,4.0,https://api.spotify.com/v1/tracks/7MAibcTli4IisCtbHKrGMh,audio_features,spotify:track:7MAibcTli4IisCtbHKrGMh,0.719,Leave The Door Open,Bruno Mars,Anderson .Paak
0,,0.733,https://api.spotify.com/v1/audio-analysis/09ZI6ytqLZe1sRXLKPKZNe,0.538,234282.0,0.674,09ZI6ytqLZe1sRXLKPKZNe,0.0,5.0,0.111,-4.555,1.0,0.384,180.215,4.0,https://api.spotify.com/v1/tracks/09ZI6ytqLZe1sRXLKPKZNe,audio_features,spotify:track:09ZI6ytqLZe1sRXLKPKZNe,0.852,Barn av vår tid,Hov1,
0,,0.0337,https://api.spotify.com/v1/audio-analysis/6inhRGv7e8iqDEMRQuFk0W,0.639,172800.0,0.758,6inhRGv7e8iqDEMRQuFk0W,0.0,7.0,0.256,-4.641,1.0,0.0482,107.905,4.0,https://api.spotify.com/v1/tracks/6inhRGv7e8iqDEMRQuFk0W,audio_features,spotify:track:6inhRGv7e8iqDEMRQuFk0W,0.41,Little Tot,Dotter,
0,,0.593,https://api.spotify.com/v1/audio-analysis/61KpQadow081I2AsbeLcsb,0.439,215508.0,0.61,61KpQadow081I2AsbeLcsb,1.07e-05,9.0,0.341,-7.236,1.0,0.116,181.088,4.0,https://api.spotify.com/v1/tracks/61KpQadow081I2AsbeLcsb,audio_features,spotify:track:61KpQadow081I2AsbeLcsb,0.172,deja vu,Olivia Rodrigo,
0,,0.175,https://api.spotify.com/v1/audio-analysis/3Ofmpyhv5UAQ70mENzB277,0.778,132780.0,0.695,3Ofmpyhv5UAQ70mENzB277,0.0,4.0,0.15,-6.865,0.0,0.0913,149.996,4.0,https://api.spotify.com/v1/tracks/3Ofmpyhv5UAQ70mENzB277,audio_features,spotify:track:3Ofmpyhv5UAQ70mENzB277,0.472,Astronaut In The Ocean,Masked Wolf,
0,,0.0397,https://api.spotify.com/v1/audio-analysis/06oh2gh4AXIapbn0UeHXad,0.488,213400.0,0.535,06oh2gh4AXIapbn0UeHXad,0.0,9.0,0.291,-6.338,1.0,0.0249,76.926,4.0,https://api.spotify.com/v1/tracks/06oh2gh4AXIapbn0UeHXad,audio_features,spotify:track:06oh2gh4AXIapbn0UeHXad,0.448,Det är nog aldrig för sent för oss två,Thomas Stenström,
0,,0.937,https://api.spotify.com/v1/audio-analysis/5qNh5WtzMbfpSj2jLlBkoD,0.634,245897.0,0.285,5qNh5WtzMbfpSj2jLlBkoD,0.000359,9.0,0.232,-14.007,0.0,0.0807,129.65,4.0,https://api.spotify.com/v1/tracks/5qNh5WtzMbfpSj2jLlBkoD,audio_features,spotify:track:5qNh5WtzMbfpSj2jLlBkoD,0.203,Your Power,Billie Eilish,
0,,0.455,https://api.spotify.com/v1/audio-analysis/3g9Bd3dzWumpEYS381Veiz,0.837,149706.0,0.585,3g9Bd3dzWumpEYS381Veiz,0.0,2.0,0.0747,-5.69,1.0,0.0554,94.081,4.0,https://api.spotify.com/v1/tracks/3g9Bd3dzWumpEYS381Veiz,audio_features,spotify:track:3g9Bd3dzWumpEYS381Veiz,0.726,Ensam,Norlie & KKV,
0,,0.00196,https://api.spotify.com/v1/audio-analysis/20GrahbI4AzAOWxpYfDKkf,0.757,165366.0,0.721,20GrahbI4AzAOWxpYfDKkf,0.0,4.0,0.647,-2.906,0.0,0.0691,124.036,4.0,https://api.spotify.com/v1/tracks/20GrahbI4AzAOWxpYfDKkf,audio_features,spotify:track:20GrahbI4AzAOWxpYfDKkf,0.364,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled,Post Malone
0,,0.366,https://api.spotify.com/v1/audio-analysis/0m9aPXkGSJbbmtDDFd764E,0.929,135000.0,0.492,0m9aPXkGSJbbmtDDFd764E,0.0,9.0,0.0873,-7.972,1.0,0.303,95.971,4.0,https://api.spotify.com/v1/tracks/0m9aPXkGSJbbmtDDFd764E,audio_features,spotify:track:0m9aPXkGSJbbmtDDFd764E,0.506,Mår Inte Bra,Asme,
0,,0.706,https://api.spotify.com/v1/audio-analysis/7DA34Ntue0IqfIOYfxm4yJ,0.672,188270.0,0.379,7DA34Ntue0IqfIOYfxm4yJ,1.07e-05,3.0,0.114,-7.205,1.0,0.0303,120.012,4.0,https://api.spotify.com/v1/tracks/7DA34Ntue0IqfIOYfxm4yJ,audio_features,spotify:track:7DA34Ntue0IqfIOYfxm4yJ,0.387,Bara lite känslor,Felicia Takman,
0,,0.47,https://api.spotify.com/v1/audio-analysis/2fePTyV9lwf7qYLkyCwTsX,0.629,179418.0,0.425,2fePTyV9lwf7qYLkyCwTsX,0.0,6.0,0.224,-6.105,1.0,0.0322,136.96,4.0,https://api.spotify.com/v1/tracks/2fePTyV9lwf7qYLkyCwTsX,audio_features,spotify:track:2fePTyV9lwf7qYLkyCwTsX,0.314,Happy For Me,Lou Elliotte,
0,,0.24,https://api.spotify.com/v1/audio-analysis/1cEhrSF6EylAEqdhUGuNpX,0.877,165527.0,0.444,1cEhrSF6EylAEqdhUGuNpX,0.0,8.0,0.169,-7.547,1.0,0.172,129.06,4.0,https://api.spotify.com/v1/tracks/1cEhrSF6EylAEqdhUGuNpX,audio_features,spotify:track:1cEhrSF6EylAEqdhUGuNpX,0.658,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,21 Savage
0,,0.0453,https://api.spotify.com/v1/audio-analysis/1OU3OPHczBcfFU8cDzSzKT,0.813,158354.0,0.848,1OU3OPHczBcfFU8cDzSzKT,1.51e-05,0.0,0.0696,-4.582,1.0,0.0534,123.978,4.0,https://api.spotify.com/v1/tracks/1OU3OPHczBcfFU8cDzSzKT,audio_features,spotify:track:1OU3OPHczBcfFU8cDzSzKT,0.603,The Best,Hook N Sling,Galantis
0,,0.183,https://api.spotify.com/v1/audio-analysis/4H9SYbjqX4UWZXiYd9NLAt,0.573,166320.0,0.601,4H9SYbjqX4UWZXiYd9NLAt,0.0,9.0,0.655,-8.711,1.0,0.12,190.006,4.0,https://api.spotify.com/v1/tracks/4H9SYbjqX4UWZXiYd9NLAt,audio_features,spotify:track:4H9SYbjqX4UWZXiYd9NLAt,0.355,Om igen,Danny Saucedo,
0,,0.0736,https://api.spotify.com/v1/audio-analysis/6qxPykWNMJos87C8atw9bE,0.669,167180.0,0.893,6qxPykWNMJos87C8atw9bE,0.0,4.0,0.14,-3.319,0.0,0.0372,89.996,4.0,https://api.spotify.com/v1/tracks/6qxPykWNMJos87C8atw9bE,audio_features,spotify:track:6qxPykWNMJos87C8atw9bE,0.314,Die For a Man (feat. Lil Uzi Vert),Bebe Rexha,Lil Uzi Vert
0,,0.0718,https://api.spotify.com/v1/audio-analysis/2dAHKe37uyUrB0v0PJrDDj,0.575,186672.0,0.572,2dAHKe37uyUrB0v0PJrDDj,0.0,10.0,0.0995,-5.928,0.0,0.0635,150.894,4.0,https://api.spotify.com/v1/tracks/2dAHKe37uyUrB0v0PJrDDj,audio_features,spotify:track:2dAHKe37uyUrB0v0PJrDDj,0.551,Body And Mind,girl in red,
